,Date_Time,Site_ID,NOx,NO2,NO,PM10,O3,Temperature,ObjectId,ObjectId2,NVPM10,VPM10,NVPM2_5,PM2_5,VPM2_5,CO,RH,Pressure,SO2
16662,2020-11-20,501,278.25,84.5,126.5,12.60000038,0.0,0.0,0,16663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16663,2020-11-20,501,0.0,0.0,0.0,0.0,0.0,0.0,0,16664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16664,2020-11-21,501,0.0,0.0,0.0,9.274999619,0.0,0.0,0,16665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16665,2020-11-21,501,0.0,0.0,0.0,15.92500019,0.0,0.0,0,16666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16666,2020-11-21,501,0.0,0.0,0.0,11.97500038,0.0,0.0,0,16667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16667,2020-11-22,501,0.0,0.0,0.0,6.400000095,0.0,0.0,0,16668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16668,2020-11-22,501,0.0,0.0,0.0,6.599999905,0.0,0.0,0,16669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16669,2020-11-22,501,0.0,0.0,0.0,21.89999962,0.0,0.0,0,16670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16670,2020-11-23,501,0.0,0.0,0.0,39.04999924,0.0,0.0,0,16671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16671,2020-11-23,501,0.0,0.0,0.0,0.0,0.0,0.0,0,16672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16672,2020-11-23,501,165.5,65.0,65.75,0.0,0.0,0.0,0,16673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16673,2020-11-24,501,6.5,5.5,1.0,0.0,0.0,0.0,0,16674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16674,2020-11-24,501,203.25,67.75,88.25,0.0,0.0,0.0,0,16675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16675,2020-11-24,501,223.75,87.25,88.75,0.0,0.0,0.0,0,16676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16676,2020-11-24,501,161.5,71.5,58.75,0.0,0.0,0.0,0,16677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16677,2020-11-24,501,77.75,38.5,25.5,0.0,0.0,0.0,0,16678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16678,2020-11-25,501,20.5,16.0,3.0,0.0,0.0,0.0,0,16679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16679,2020-11-25,501,180.5,76.75,67.75,0.0,0.0,0.0,0,16680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16680,2020-11-26,501,230.25,49.25,118.25,28.5,0.0,0.0,0,16681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16681,2020-11-26,501,721.25,154.25,369.25,49.625,0.0,0.0,0,16682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16682,2020-11-26,501,644.0,125.0,338.25,66.30000305,0.0,0.0,0,16683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16683,2020-11-26,501,411.0,88.0,210.75,42.52500153,0.0,0.0,0,16684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16684,2020-11-27,501,262.5,58.25,133.0,40.29999924,0.0,0.0,0,16685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16685,2020-11-27,501,376.5,100.75,179.75,24.375,0.0,0.0,0,16686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16686,2020-11-27,501,209.0,73.0,88.5,20.70000076,0.0,0.0,0,16687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16687,2020-11-28,501,30.5,27.5,2.25,25.82500076,0.0,0.0,0,16688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16688,2020-11-28,501,36.25,28.5,5.25,18.82500076,0.0,0.0,0,16689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16689,2020-11-28,501,83.25,40.5,28.0,37.40000153,0.0,0.0,0,16690,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16690,2020-11-29,501,42.5,32.75,6.25,40.5,0.0,0.0,0,16691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16691,2020-11-29,501,26.75,24.0,2.25,39.47499847,0.0,0.0,0,16692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
